Reported Date,Resolved Date,Incident,Incident Start Time,Incident End Time,MTTR (hh:mm),Business Platform - Area of Cause,Product Portfolio -Area of cause,Impacted Business Platform,Impacted Product portfolio,Impacted business process,Inc Category,Description,Organisation,Team ,Financial Impact,Application/Service Impacted?,RC Status,Problem Record,Background,Next Steps / Solution,Initial RCA Date,Final RCA Date (Once the cause is fully known),Solution Identified Date,Planned Solution Deployment  Date,Actual Solution Deployment  Date,Does an alert already exist? Is configuration required/applicable?,Was the incident identified through the alert?,Does a  workaround exist ? Was it used?,Is Permanent Fix Deployed?,RC Category,Issue caused due to CR or WO,Root Cause,Reference CR/WO,Reason for failed change/issue,Risk ID/ Backlog id,Closed Date,Closed Month,Closed Year,Problem manager,Open/Closed,MIM,Problem actions - Added?  Y/N/NA,Year,Month #,Month Name,Current day,Ageing,Aging Bucket
11/1/2022,11/1/2022,88933293,06:58,8:55,01:57,Customer Channels,Platform & Store Ops,Customer Channels,Platform & Store Ops ,,KI,ECS application was inaccessible,ECS,NA,,ECS,RC identified,62872,"ECS application was inaccessible displaying an error on both Honeywells and Workstations between 06:58 and 08:55.  Store colleagues were unable to print shelf edge tickets causing a possible discrepancy between the price displayed and price on the tills.  Vendors ECS upgraded the heap size memory from 1gb to 2gb after to restore services. 
  ",The next steps are in the problem actions tab,11/1/2022,11/1/2022,,,,,No,Yes,,Customer Tech issue,NA,"It is believed that stores have carried out a lot more adhoc searches this morning than normal.  Until 09:10 today, our store colleagues searched/printed 30000 UPC’s as compared to 821 searched for and printed yesterday by 09:10. There was a Halloween reduced to clear activity today, plus today/tomorrow is also phase change.  The enlarge function on the ECS ticketing app remains and is a contributary factor to this incident as it makes two calls to the API per UPC.  These activities have caused a heap memory resource constraint on the ECS application.    ",NA,NA,NA,11/23/2022,November,2022,Saloni,Closed,,,2022,11,November,9/16/2025,1050,>60
10/29/2022,10/29/2022,88928761,09:35,12:24,02:49,C&H and Intl ,C&H & Intl Supply Chain, C&H and Intl,C&H and Intl Supply Chain,,KI,Castle Donington reported issues in Ecom order processing,TCS,"WCS, WMS",,"WCS, WMS",RC identified,62868,"On 29/10, Castle Donington reported issues in Ecom order processing between 09:35 and 12:24. The global C&C proposition was moved to 24hours. The root caused was attributed to an incorrect order delivery date owing to clock change activity which was corrected to resume order flow",All actions have been completed,10/30/2022,10/30/2022,,,,NA,NA,NA,Yes,Customer Tech issue,No,The root caused was attributed to an incorrect order delivery date owing to clock change activity which was corrected to resume order flow,NA,NA,NA,11/11/2022,November,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1053,>60
10/23/2022,10/23/2022,88914810,19:10,20:31,01:21,C&H and Intl ,C&H & Intl Supply Chain, C&H and Intl,C&H and Intl Supply Chain,,SI, Issues with Bradford C&H DC operations,KNAPP,NA,,Bradford C&H DC,RC identified,62853,"Orders for Bradford C&H DC were failing in Sterling as Kisoft WMS could not process any messages from WCS automation. This resulted in loss capability for the site between 19:10 and 20:31. In addition, Ecom proposition was pushed out and 95 orders were miss promised. Knapp identified multiple data export sessions in the database and hence restarted the database services and JBOSS messaging services to restore services.",All actions are being tracked in Problem Actions tab,10/23/2022,10/25/2022,,,,No,No,No,Yes,3rd party issue,No,To complete a specific report on “Returns” the managers / team leaders take extracts from KISOFT on a hourly basis. Filters are used to minimise data extract to specific hours. Knapp had a new step up team leader who ran the query without any filters and exported into EXCEL. This query ran for 2 hours and brought down JBOSS.,NA,NA,,3/28/2023,March,2023,Sravan,Closed,,,2022,10,October,9/16/2025,1059,>60
10/20/2022,10/20/2022,88907857,14:30,18:00,03:30,Customer Channels,Service Experience,Customer Channels,Service Experience,,SI,Drop in Brands availability picture,TCS,Sterling,,Sterling,RC identified,62767,"Alerting identified a drop in the number of in stock and buyable products availability for Online Brands between 14:30 and 18:00 . Around 600 orders were impacted when compared to previous days resulting to a significant drop in sales and poor customer experience. To restore services, a fresh SOD (Start of Day) file was triggered with a full inventory picture from Brands WMS to OMS. As part of ongoing stock alignment activity between WMS and OMS, the inventory was inadvertently set to 0, thus causing the issue.",Actions are updated in problem actions tab,10/20/2022,10/25/2022,,,,Yes,Yes,Yes,Yes,Human error - Customer Tech,No,"As part of ongoing stock alignment activity between WMS and OMS, the inventory was inadvertently set to 0, thus causing the issue.",No,NA,,11/16/2022,November,2022,Kavitha,Closed,,,2022,10,October,9/16/2025,1062,>60
10/19/2022,10/19/2022,88904516,13:45,14:45,01:00,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,KI, Checkout issues on International Flagship sites,Global-E,NA,,Demandware,RC identified,62851,Alerting indicated that no orders were taken on the international flagship sites between 13:45 and 14:11. Vendor Global E confirmed an issue with their database servers which was restarted to restore services.,All the agreed actions are closed ,10/19/2022,10/25/2022,,,,Yes,Yes,No,Yes,3rd party issue,No,Global-E had an internal malfunction due to an unexpected error in one of the Microsoft - SQL DB clusters which caused an outage to Global-e checkout and admin. A full database recovery process was carried out to restore the service.,NA,NA,NA,11/29/2022,November,2022,Kavitha,Closed,,,2022,10,October,9/16/2025,1063,>60
10/17/2022,10/17/2022,88897530,04:00,9:09,05:09,Group Support,Finance,Commercial Trading,C&H Commercial Trading ,,SI,Delay to the GMOR critical batches,TCS,GMOR,,GMOR,RC identified,62835,"Overnight, alerting indicated that multiple jobs were failing in GMOR system. This delayed the availability of the GMOR BO reports, daily sales reports and sales dashboard in BEAM. In addition, there was a delay in updating the latest planned intake data in SSI reports. The issue was caused as one of the table did not get created in the database after the repartitioning and hence was re-created to recover the batches. ",Actiond are updated and closed in the problem actions tab,10/17/2022,10/18/2022,,,,Yes,Yes,Yes,No,Configuration issue,NA,"The repartition program started with a delay on 17/10 as its predecessor housekeeping job responsible for data backup overran on 16/10 due to huge volume of data. The overrunning was caused as the selective deletion (which deletes historic data) process did not function as expected. This is currently being investigated.

On 17/10, as the GMOR batch and the repartitioning were running simultaneously, it locked the system causing the GMOR jobs to fail and the repartition to go into hung state with a database error.

As the repartitioning went into hung state, one of the tables did not get created in the database causing the issue. ",NA,NA,SAP-GMORBW-00051,11/2/2022,November,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1065,>60
10/13/2022,10/13/2022,88888766,07:00,9:30,02:30,GTS,Enterprise Technology Platform,All BU's,All BU's,,KI,On prem Control M system was unavailable,TCS,Control M,,Control M,RC unknown,62755,The on-prem Control-M batch scheduler was unavailable between 7:00 and 9:30. There was no residual impact to any portfolio.  The issue was caused by a long running transaction on the Control M database server which was restarted to restore services. Vendor BMC are investigating further. ,All the actions are and closed in problem actions tab ,10/21/2022,10/21/2022,,,,Yes,Yes,Yes,No,RC unknown,,"Rootcause is undetermined as both BMC and Microsoft confirmed that there no issue in the database. There is no feasibility to configure alerting for long running sessions. Hence, SOP has been created documenting the restoration steps and updated in Control M SOM",,RC unknown,,11/15/2022,November,2022,Saloni ,Closed,,,2022,10,October,9/16/2025,1069,>60
10/13/2022,10/13/2022,88889338,10:30,12:36,02:06,Foods,Food Supply Chain,Foods,Foods Supply Chain,,KI,Relex foods service was inaccessible,Relex,NA,,Relex,RC identified,62756,"Relex service was unavailable between 10:30 and 12:36. Users were unable to access the system to perform foods forecasting, ordering and allocation. The outage was caused by a central issue at Relex which impacted other customers including Customer. Awaiting detailed root cause from Relex. ",Relex has implement improvements during their certificate renewal activity to avoid such issues in future,10/20/2022,10/20/2022,,,,No,No,Yes,Yes,3rd party issue,NA,The issue was caused due to a certificate issue in Relex web plan gateway. The certificate failure caused connectivity issues between customers and Relex user Interface which caused the outage.,NA,NA,NA,10/28/2022,October,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1069,>60
10/7/2022,10/8/2022,88876687,19:00,15:50,20:50,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,MI,Drop in mobile web orders,TCS,MCP,,MCP,RC identified,62718,"Customers reported that they were unable to log in to the website via mobile web. Due to this, registered customer were unable to place orders via mobile web causing a drop in orders. No impact to guest orders. As a work around, a change was implemented to bypass the problematic component and land directly on the mobile pages. The root cause was attributed to a change that was deployed on Friday 07/10.",All actions completed,10/9/2022,10/9/2022,,,,"No, Yes",No,Yes,Yes,Customer Tech change,CR,A change (CM-8631) was implemented in the mobile web architecture (MCP) to update ingress version (cloud-based load balancer) and related pipeline upgrades to support upcoming Infra deployments. This code had a syntax error which disrupted the mobile login journey., CM-8631,Lack of testing,,10/14/2022,October,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1075,>60
10/6/2022,10/6/2022,88872438,10:27,11:29,01:02,Customer Channels,Platform & Store Ops,Customer Channels,Platform & Store Ops ,,KI,Gap scan and counting processes issue,TCS,CSSM,,Gap Scaning,RC identified,62719,"A change went in to bring efficiencies to the Gap Scan and counting processes within stores. The change should have been to deploy the app, in dormant mode and make live on Saturday night/Sunday morning. Unfortunately, the change went live in all stores on Friday and caused confusion within Retail. Stores had to be communicated to, to start using the new app from Friday, 2 days earlier than expected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human error - Customer Tech,NA,It has been agreed that this was not an actual issue but a communication gap. Hence no PIR conducted and no root cause to be chased.,NA,NA,NA,10/10/2022,October,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1076,>60
10/3/2022,10/3/2022,88861216,08:55,9:24,00:29,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,KI,Alerting indicated an order dip on UK & I.E. website,TCS,Ecomm platform support,,WCS ,RC identified,62818,Alerting indicated an order dip on UK & I.E. website between 08:55 and 09:24. This caused drop in orders when compared to the previous days. The issue was reported after diverting the website traffic to a different hall (Website traffic is split into two halls)  with a new release code was deployed on 03/10. The website traffic was diverted back to the previous hall to restore services. ,All actions  completed.  ,10/3/2022,10/3/2022,,,,Yes,Yes,Yes,Yes,Customer Tech issue,NA,"As part of a shopping release, a code was deployed to hall 2 (Website traffic is split into two halls) and was made customer facing while attempting to deploy the code to hall 1 (original hall). There was a significant drop in orders as one of the webservers in the hall 2 did not come up properly after the deployment and therefore, was unable to serve traffic. ",NA,NA,NA,10/14/2022,October,2022,Saloni,Closed,,,2022,10,October,9/16/2025,1079,>60
10/2/2022,10/3/2022,88861805,08:00,18:00,34:00,Group Platforms,Enterprise Technology Platform,Group Platforms,Finance,,SI,Issue with e-SAP operating from DR environment,TCS,Network,,eSAP,RC identified,62642,"During the e-SAP DR activity on 02/10 the system was unable to receive data from clouds system like POSDTA and GMOR.  Deliveries to stores are impacted due to understated stock positions, finance reports will have understated sales figures and GMOR report will up to date stock and sales figures due to this. A decision was made to allow the DC to use eSAP application to perform picking and dispatch operation for 03/10 to minimise the impact. A network route was missing in the eSAP DR environment and this was fixed at 18:00.  Batch catch-up is in-progress.",Actions have been updated in the problem actions tab,10/10/2022,10/10/2022,,,,NA,NA,NA,Yes,Customer Tech change,NA,"When eSAP application was failed over to Swindon for the DR exercise, the connectivity to the Azure cloud based applications such as POSDTA and GMOR was there but did not work due to Asymmetric routing.  This this means that out bound traffic was going via Swindon but returning inbound via Stockley.  If Stockley was actually isolated then the DR test would have worked without any further configuration needed to stop asymmetric routing.",NA,NA,NA,10/11/2022,October,2022,Rehan,Closed,,,2022,10,October,9/16/2025,1080,>60
9/30/2022,9/30/2022,88857202,16:30,17:42,01:12,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,SI,Customers are unable to redeem Loyalty Reward Vouchers online,TCS,Ecomm platform support,,Loyalty Rewards Services,RC unknown,62632,"Monitoring identified a dip in number of orders where loyalty rewards vouchers were used for payment.  Customers were unable to use the vouchers to pay for their orders. This impacted the transactions through PSG (legacy) route. The POG route (used for Customer colleague transactions) was working fine.  An issue with routing traffic from PSG to LRS (Loyalty Reward services) through Stockley Park was identified, therefore to mitigate impact,  services were failed over to the Swindon at 17:42","Open Actions:
1	Monitoring identified that the number of orders where Loyalty Reward Vouchers is used for payment is very low.  The issue started at 00:20 but was escalated to a sev 2 at 16:20 which is 16 hours later.  We need to address why it took this period of time to identify that this was a significant issue.  Could the potential impact have been better assessed?	Hisham Khalid		
2	LRS application is hosted in Azure and there was an issue in reaching the application in N. Europe (not an application issue).  It was not failing over to W. Europe through Stockley Park due to missing setup – this missing setup needs to be investigated.
	Hisham khalid		
3	What was the exact issue because of which we could not reach the application in North Europe – this is a Microsoft issue and we need to follow up on the cause.	Hisham Khalid		
4	The LRS application was not failing over to W. Europe through Stockley Park due to missing setup – this missing setup needs to be investigated.
	Hisham Khalid/George Loizou		
	",9/30/2022,9/30/2022,,,,"No,Yes",No,Yes,No,RC unknown,No," There were no issue identified in the investigation , Aged-out and reset were observed in the server logs during that issue, however  there was no connection breaks on Network layer. The only issue from network end was the health monitor mapping and it has been configured in both North and West Europe regions. Hence root cause inconclusive ",NA,RC unknown,,2/14/2023,February,2023,Kavitha,Closed,,,2022,9,September,9/16/2025,1082,>60
9/29/2022,9/30/2022,88850486,07:00,17:00,34:00,Customer Channels,Platform & Store Ops,Customer Channels,Platform & Store Ops ,,SI, Printer access issues on the Windows 10 workstations,TCS,SIT (Software  Implementation Team),,Store printers,RC unknown,62365,"Store colleagues were unable to access the printers on their Windows 10 workstations. This impacted the printing capability for all Win10 stores, however, 86% of  tickets were already printed for the day. A fix was deployed to the entire Win 10 store estate to map the local printers to the workstations. ",Actions updated in the Problem actions tab,9/29/2022,10/16/2022,,,,"No,NA",No,No,Yes,Customer Tech change,CR,"The root cause is unknown however the in-depth problem investigation has strongly indicated that CR169676 was linked to the cause. This objective of this change was that in preparation for peak, a prerequisite activity was carried out on 29/09 which deployed a script to activate local printer mapping to the Win 10 workstations and relieve the till distribution points in stores from carrying out print server tasks so that they can once again be used as tills.",169676,inadequate testing,NA,10/20/2022,October,2022,Sravan,Closed,,,2022,9,September,9/16/2025,1083,>60
9/29/2022,9/29/2022,88851924,07:45,13:50,06:05,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,SI,"Intermittent Errors on Homepage, DLP, SRP & PLP Pages",TCS,Ecomm platform support,,Customer .com website,RC identified,62363,"A number of errors were intermittently observed on the Homepage, Display Landing Pages (DLP), Search Results Pages (SRP), Product Listing Page (PLP).  This resulted in poor customer experience while browsing the website impacting 3% of the customer traffic.  The issue on the Homepage and DLP was caused by an incorrectly configured certificate during a certificate renewal and was corrected by 13:40.  The majority of customers were able to browse as they were protected by cache.  

A separate certificate was inadvertently deleted via an automated mechanism which resulted in customers experiencing intermittent errors on the SRP and PLPs. To mitigate the impact, the customer traffic was routed to a different Azure region. ",Actions have been updated in the problem actions tab,29/09/2022,10/6/2022,,,,Yes,No,No,Yes,Customer Tech change,CR,"Homepage/DLP 
Certificate that was added was a partial certificate (This was added in error) which only included the intermediate rather than the entire certificate chain. As a verified certificate chain did not exist the SSL handshake did not complete successfully and resulted in errors when Akamai attempted to connect to the origins.

SRP/PLP 
Automated certificate manager was attempting to renew an expired certificate. This did not work correctly as the Certificate Manager faced some compatibility issues following an Azure Kubernetes Service upgrade on the impacted cluster. This resulted in current certificate being deleted and new one not being issued which resulted in SSL handshake failures when Akamai attempted to connect to the impacted cluster’s origins. The cause of this problem was related to an AKS cluster upgrade in the previous month which resulted in incompatibilities with certain services. The incompatibilities were not immediately apparent for this specific scenario with the Cert Manager Service as no certificate had expired. When the certificate did expire, and Cert Manager was unable to successfully renew it the issue was brought to light. There was also a compatibility issue with an external DNS which is used to validate certificates by the issuer (In this case Let’s Encrypt). This compatibility issue also existed because of the AKS upgrade to the NEU cluster. WEU (Western Europe) cluster has not yet been upgraded and so did not experience any of these issues.",CM-8630,inadequate testing,NA,10/11/2022,October,2022,Sravan,Closed,,,2022,9,September,9/16/2025,1083,>60
9/27/2022,9/28/2022,88846160,09:25,9:00,23:35,Customer Channels,Platform & Store Ops,Customer Channels,Platform & Store Ops ,,KI,Collection slots not showing intermittently on CFTO App,TCS,CFTO collection App,,CFTO collection App,RC identified,62630,"Some stores reported intermittent issues with CFTO app collection slots availability, orders placed on the website were unaffected. This was caused by the CFTO app not supporting compressed/zipped data.  An alternative compatible library was tested and successfully deployed into production to resolve the issue by 9am on 28/09. ",Actions in the next tab.,27/09/2022,28/09/2022,,,,Yes,Yes,Yes,Yes,Customer Tech issue,NA,Incompatible software library not supporting compressed data,NA,NA,CFTOOC - 272/273/274,11/22/2022,November,2022,Sravan,Closed,,,2022,9,September,9/16/2025,1085,>60
9/27/2022,9/27/2022,88848166,19:15,20:20,01:05,C&H and Intl ,C&H & Intl Supply Chain, C&H and Intl,C&H and Intl Supply Chain,,SI,Issues with Bradford C&H DC operations,Knapp ,NA,,WMS dispatcher,RC identified,62361,Orders for Bradford C&H DC were failing in Sterling as Kisoft WMS could not process any messages from WCS automation. This impacted the DC operations capability of fulfilling retail or website orders between 19:15 and 20:20..  Vendor Knapp found that the JBOSS service which imports messages into WMS had stopped working. This service was restarted by Knapp to resume the message flow.,"1) We await the actual root cause from JBOSS
2) Closed down the ticket so that the root cause can be provided 24 hours after the closure Time
3) There should have been alerting for the fact that messages were not flowing – Knapp to advise if alerting is in place and if not what can be configured 
4) Customer Tech and Knapp – we need to review the process and improve it and align it between the two stakeholders
5) Site cannot be kept down to investigate the root cause and this is what happened in this instance.  We need to document and formalise the agreed recovery process between Customer Engineering/Customer Tech and Knapp – who will take the lead and take the decisions?
6) In this instance command centre came to us to ask about impact and recovery when in fact they need to go GXO directly. 
7) When we have any WMS down time, Sterling have to take Bradford out of fulfilment as there is no buffering/exception queue – there is a change due for release 61 (end of Oct) – update required.",27/09/2022,10/7/2022,,,,TBC,TBC,Yes,Yes,3rd party issue,NA,"Knapp have got some new IT engineers who have just ended their training.  When a single unit (plastic tote used to store goods) goes missing or needs to be investigated, Knapp IT engineers can enter the node ID and run a snapshot.  This snapshot looks across WMS, WCS and SRC and comes back with the status of the tote.  In this case instead of placing a filter for the particular tote ID, the engineer took a snapshot of the whole of WMS to include every single article and node ID.  This was a very large query and therefore JBOSS shut down as it could not process the amount of data that the snapshot produced.
Knapp have now decided that engineers can no longer run the entire snapshot and they can only run it by a unique ID.",NA,NA,NA,12/19/2022,December,2022,Sravan,Closed,,,2022,9,September,9/16/2025,1085,>60
9/24/2022,9/30/2022,88886973,11:36,10:15,22:00,Group Support,Finance,Supply Chain,Foods Supply Chain,,SI,"Goods Receipt messages from Bedworth’s WMS system, Ultima, had not reached Customer/SAP",OpenText,NA,,SAP,RC identified,62644,"Goods Receipt messages from Bedworth’s WMS system, Ultima, had not reached Customer/SAP between 24th and 30th September 2022, this caused an impact to supplier payments and invoice processing for at least 54 frozen suppliers, including Bakkavor.
Finance also raised a risk due to the P/L impact to their Half year finance end process. The issue was caused due to incorrect data content sent in transaction messages from GXO's Ultima system that had failed to process through OpenText and thus Customer.  A fix has now been successfully deployed and all the backlogged messages have been processed at Customer with the corresponding Proof of deliveries also sent to suppliers for payments and invoicing. Customer Tech and Colleagues will work along with GXO/GIST to better alert and handle failures of this kind going forward.","The action are tracked under the incident 88838928
Actions are updated in problem actions tab",10/28/2022,10/28/2022,,,,"No, yes",No,No,Yes,3rd party change,Yes,A new SFTP server and application was configured using a different OpenText mailbox to send the delivery messages from Ultima to OpenText. The change in the route had an error in the name of the directory path.  The delivery messages started to get backlogged without processing to OpenText thus causing the issue – human error. ,NA,Human error,,11/9/2022,November,2022,Kavitha,Closed,,,2022,9,September,9/16/2025,1088,>60
9/24/2022,9/24/2022,88841443,09:25,10:59,01:34,Customer Channels,Selling Experience,Customer Channels,Selling Experience,,KI,Issues in packing ISF orders via SPPD,TCS,BOSS Support,,SPPD,RC unknown,62348,"On 24/09, store colleagues were unable to pack items via SPPD between 09:25 and 10:59 . This impacted the packing and despatch operations of the ISF (In Store Fulfilment) orders. A job responsible for processing the picking messages to sterling had stopped responding which was restarted to restore services.","1.Configuration of an alert to proactively identify whenever the job stops responding in future.: Lokesh <<Initially, there was a miss from tech to configure an alert for this job. 
However, a sev1 alert has now been configured based on the count of messages picked up by the job to be sent to Sterling. For eg: If the message count is 0 between 7am to 7pm for 5 mins, the alert will get triggered. This will be monitored to confirm the effectiveness of the alert.>>
2.Why did the job stop responding?	Lokesh	
<<A catchup call is scheduled today with the tech teams (only) to perform detailed analysis. ETA: 29/09>>
3.The level of access has to be similar across the Dev and ops team. This is to ensure a seamless identification and resolution of the issue	Lokesh/Arthy: Completed.
4. Considering the SPPD application has been recently migrated to Azure V2, teams to create SOP document for new scenarios.	Lokesh/Arthy	ETA: 29/09",24/09/2022,9/28/2022,,,,"No, configured",No,Yes,No,RC unknown,NA,"On 24/09, the Demand release job responsible for sending the picking messages for the ISF (In Store Fulfilment) orders had stopped responding which impacted the message flow to Sterling. This caused a backlog of messages and hence the orders did not move from pick screen to pack screen in SPPD application. 
Team performed a detailed investigation along with the development team and could not find the reason why the job had stopped picking messages. Support also monitored the job performance and the issue did not re-occur.",NA,NA,NA,10/31/2022,October,2022,Saloni,Closed,,,2022,9,September,9/16/2025,1088,>60
9/22/2022,9/23/2022,88838928,11:36,10:15,22:00,Foods,Food Supply Chain,"Store Operations, Supply Chain","Run the Store, Foods Supply Chain",,MI,Issue with frozen delivery messages interfacing into CSSM,OpenText,NA,,CSSM,RC identified,62644,CSSM did not receive systemic delivery messages for Bedworth frozen deliveries from 20/09.  This impacted the store stock position and resulted in over allocations for frozen deliveries across 437 stores for into store date 23/09 and 24/09. The root cause was attributed to a configuration change by vendor GXO that resulted in the message flow being interrupted. The back log of messages from 20/09 were manually processed to mitigate impact and a permanent fix has been applied.  Monitoring of further runs in progress.,"1	What went wrong with the change and were there any E2E checks after implementation of the change
2
	Was Customer made aware of the change? 

3	Was there any alerting in Ultima to notify message pile up from 20/09 before the issue was highlighted by Customer on 22/09?

Why was the connection issue between OpenText and Ultima was not highlighted before as it was ongoing from the morning? 

Why there was no alerting on 21/09 to notify that the are no frozen delivery messages for past 24 hours in CSSM ?
If there are any changes to the schedule for frozen deliveries, Foods teams need to advise the CSSM team so that they can amend their alerts accordingly
We had overallocation in ASO as the stock was understated in CSSM. Is there a way to highlight this in ASO/Quantum?
Was there a delay in stores comms because the entire impact was not realised in a timely manner?
",10/28/2022,10/28/2022,,,,Yes,Yes,No,Yes,3rd party change,Yes,A new SFTP server and application was configured using a different OpenText mailbox to send the delivery messages from Ultima to OpenText. The change in the route had an error in the name of the directory path.  The delivery messages started to get backlogged without processing to OpenText thus causing the issue – human error. ,NA,Human error,,11/17/2022,November,2022,Kavitha,Closed,,,2022,9,September,9/16/2025,1090,>60
9/21/2022,9/21/2022,88837724,13:58,20:01,06:03,GTS,Enterprise Technology Platform,"Customer Channels, Supply Chain",C&H and Intl Supply Chain,,KI,Issue with DTC services on Infoblox,Infoblox,NA,,CD labelprinting and .COM website API calls,RC identified,62646,"On 21/09, alerting indicated performance degradation to .COM external web calls and carrier label printing in Castle Donington and Thorncliffe between 13:58 and 20:01.  This was due to an intermittent restart of DNS traffic controller (DTC - monitors applications health) caused by an incorrect code provided by Vendor Infoblox.  This was corrected to restore the service.","Open
3	Investigate why it took four hours to resolve the issue, identify the challenges and suggest improvements;Network (Fastin);04th Oct, 2022
5	Are there any alerts configured for DTC service restart?;Network – Govidaraj;The priority of the email alerting has been increased to Sev1. The feasibility of configuring a pager duty alert is being explored. ;04th Oct, 2022
7	Why were the response failures in carrier gateway not addressed or highlighted earlier to relevant teams?; Carrier gateway/ Jeevan ;PagerDuty alerting is already configured, however on the day of the incident the failure didn't reach the threshold level for a critical alert to be triggered.The threshold and severity of the alert to be revisited; 30th, Sep 2022
6	What could have been done differently to identify and fix the issue sooner? 	Network	The impact due to the DTC restart was believed to be minimal. Hence there was a delay is actioning the alerts. Team have now understood the significance of the DTC service alerts and will ensure that alerts are actioned with priority going forward.;The threshold and severity of the alert to be revisited ;	30th, Sep 2022
8	Can any alerting be put in place if there is a failure in carrier gateway to notify Castle Donington DC?; 	Carrier gateway/ Jeevan;PagerDuty alerting is already configured, however on the day of the incident the failure didn't reach the threshold level for a critical alert to be triggered.
The threshold and severity of the alert to be revisited;	30th, Sep 2022
9	The list of applications which uses DTC services needs to be documented and they will be engaged to assess the impact incase of any issues with the services ;Network/Platform; Network team will liaise with platform team to document the list of applications which uses DTC services. Team have agreed in the PIR call to engage the relevant teams in case of any issues with DTC service.;30th, Sep 2022
10	Why did the change in non-prod impact production service?	;Infoblox/ Rajesh ; A case has been raised with Infoblox to understand why it impacted production services. Network is following up with Infoblox to understand the RC. Infoblox has advised that the similar issue has been observed for the customers and they are continuing to investigate.Rajesh to chase up Infoblox for the RCA.;No ETA as of now
11	Production change process to be followed for components which share both Production and Non Prod services;	Kamal and Rajesh;	No ETA as of now


Closed:
1	Was the automated change tested before deployment? 	Network	This is the only testing environment. So, we won’t be able to test the changes before deploying in Non-prod. 	
2	Do we have any change reference for this change that was deployed via automated pipeline?	Network	All automated changes go via portal request and no change management process involved 	
4	Can any measure be taken to prevent the impact to production for such globally managed services? If not, is it possible to split the service for prod and non-prod separately?	Network- Govidaraj	Based on the current system architecture, there is no feasibility to add any preventive measure in the system. Infoblox architecture needs to be revisited and will discussed with the relevant stakeholder which will be tracked under the back log - CNWK-801	",9/21/2022,9/23/2022,,,,Yes,Yes,No ,Yes,Unauthorised Change ,Yes,A change was deployed as part of testing in non-prod to the DTC which is the DNS traffic controller which monitors and load balances application health. The code given by vendor Infoblox had a syntax error causing both prod and non-prod services to restart.  A case has been raised with Infoblox to understand why it impacted production services.,NA,inadequate testing,,11/4/2022,November,2022,Kavitha,Closed,,,2022,9,September,9/16/2025,1091,>60
9/20/2022,9/20/2022,88835977,13:00,20:15,07:15,Customer Channels,Service Experience,Customer Channels,Service Experience,,MI,Entire orders getting cancelled instead of the out of stock lines,TCS,Sterling ,,Sterling,RC identified,62377,"From 06/09, whole orders were getting cancelled in Sterling instead of cancelling the specific out of stock items. Due to this, 6684 orders were cancelled. The issue was caused by problematic code deployed in the Sterling release on 06/09. A code fix was deployed to resolve the issue.","Closed actions:
2) Agree threshold and set up alerts in EM for OMS Unreachable orders. 
3) Review WCS offline order alerts and update 
8) To resolve slowness in SIT testing environment, increase Infrastructure (number of pods) this will reduce offline orders 
9) Add to SIT testing phase validation of exception errors 

Why did it take 14 days for us to identify the issue? - Orders go offline daily and orders are cancelled daily due to stock not available.  There was no alert for stock not available. This is why all the thresholds are now being reviewed as below.
Two no stock available alerts have been added – Sev 2 300 lines Sev 1 600 lines (average cancellations in this area is 700 a week) - Completed
5) Root cause: The null pointer error was not mapped in Enterprise middleware (EM) and therefore EM was translating this as OMS unreachable – why was it not mapped?  What happened in testing?
6) Post Sterling Release have a warranty period by OMS Development Team 
7) As part of the above warranty period include validation and monitoring on exception errors""",27/09/2022,27/09/2022,,,,"No, Yes",No,No,Yes,Customer Tech change,CR,"When a click & collect multi-line order is placed, the ATP (Inventory check) API response gives a null point error when the first line item of the order was out-of-stock. This null pointer error is not mapped in Enterprise middleware (EM) and therefore EM was translating this as OMS unreachable.  This caused WCS to place the order in offline mode.   When an offline order is processed in OMS, another inventory check is made resulting in the same condition failure and therefore OMS cancelling all the lines in the order. ",CM8452,inadequate testing,NA,10/31/2022,October,2022,Sravan,Closed,,,2022,9,September,9/16/2025,1092,>60
